pathway_name,entry_cert,mid_cert,senior_cert,entry_role,mid_role,senior_role,timeline_years,salary_progression
Investment Banking - India,NISM Series 9,NISM Series 9 + 21B,Multiple NISM + CFA L2,Merchant Banking Associate,Senior Merchant Banker,Head Merchant Banking,0-2 → 2-5 → 5-10,₹3.5-6L → ₹6-12L → ₹12-25L
Investment Banking - US,US Series 7,US Series 7 + CFA L1,Series 7 + CFA L2/3,Investment Banking Analyst,VP Investment Banking,MD Investment Banking,0-2 → 2-5 → 5-10,₹5-8L → ₹8-18L → ₹18-35L
Financial Planning - India,NISM Series 10A,NISM Series 10B,Multiple NISM + CFP,Investment Advisor,Senior Investment Advisor,Chief Investment Advisor,0-2 → 2-5 → 5-10,₹3-5L → ₹5-10L → ₹10-20L
Financial Planning - US,CFP,CFP + CAIA L1,CFP + CFA L2,Financial Planner,Senior Financial Planner,Wealth Management Head,0-2 → 2-5 → 5-10,₹3.5-6L → ₹6-12L → ₹12-25L
Research Analysis - India,NISM Series 15,NISM Series 15 + 10A,NISM 15 + CFA L2,Research Associate,Research Analyst,Head of Research,0-2 → 2-5 → 5-10,₹4-7L → ₹8-15L → ₹15-35L
Technical Analysis - US,CMT Level 1,CMT Level 2,CMT Level 3,Technical Analyst,Senior Technical Analyst,Chief Market Strategist,0-2 → 2-5 → 5-10,₹4-6L → ₹8-12L → ₹15-25L
Alternative Investments - India (Manager),NISM Series 19C,NISM Series 19C + 21B,NISM 19C + CFA L1,AIF Analyst,AIF Manager,Head of Alternatives,0-2 → 2-5 → 5-10,₹4.5-7L → ₹8-15L → ₹18-40L
Alternative Investments - India (Distributor),NISM Series 19D,NISM Series 19D + 19C,NISM 19D + Multiple,AIF Distributor,Senior AIF Distributor,Regional AIF Head,0-2 → 2-5 → 5-10,₹3.5-6L → ₹6-12L → ₹12-25L
Alternative Investments - US,CAIA Level 1,CAIA Level 2,CAIA Charter,Alternative Investment Analyst,Senior Alternative Investment Manager,Head of Alternatives,0-2 → 2-5 → 5-10,₹8-12L → ₹15-25L → ₹30-60L
Portfolio Management - India,NISM Series 21B,NISM Series 21B + CFA L1,NISM 21B + CFA L2,Portfolio Assistant,Portfolio Manager,Chief Portfolio Manager,0-2 → 2-5 → 5-10,₹4.5-8L → ₹8-18L → ₹20-50L
Portfolio Management - US,CFA Level 1,CFA Level 2,CFA Charter,Financial Analyst,Portfolio Manager,Chief Investment Officer,0-2 → 2-5 → 5-10,₹4.5-8L → ₹8-15L → ₹15-35L → ₹35-100L+
